Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Coding_Helper,code_clone,BoxAndWhiskerChart,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,code_clone,CloneCheck,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ProjectFileName1; ProjectFileName2; path1; path2
Coding_Helper,code_clone,CloneCheck,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Command; CloneCheck; TfIdfCalculate; CosineSimilarity
Coding_Helper,code_clone,CosineSimilarity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: similarArray
Coding_Helper,console,Command,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: forwardDir; directoryName; currentPath; scan
Coding_Helper,console,Command,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Command; CloneCheck; TfIdfCalculate; CosineSimilarity
Coding_Helper,huffman,CompressedFileWriteHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: map
Coding_Helper,huffman,CompressedFileWriteHelper,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Huffman; CompressedFileWriteHelper; DecompressedFileWriteHelper; Decompress
Coding_Helper,huffman,DecompressedFileWriteHelper.State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,huffman,FileWriteHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: file; fileOutputStream; byteBuffer; NUM_OF_BITS_TO_WRITE
Coding_Helper,huffman,FileWriteHelper,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FileContentReader
Coding_Helper,huffman,HuffmanTuple,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: letter; representation
Coding_Helper,huffman,mainDecode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,huffman,mainEncode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: exist
Coding_Helper,huffman,Node,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: left; right; freq; letter; INTERIOR_NODE_CHAR
Coding_Helper,IO,ProjectReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: count; classCount; projectOne; projectTwo; filename
Coding_Helper,metrices,Average_LOC,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,metrices,FileCount,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,metrices,LineOfCode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: totalLineOfProject
Coding_Helper,metrices,MethodCount,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,searching,MethodFind,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,searching,Search,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ProjectFileName
Coding_Helper,searching,Similarity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Coding_Helper,searching,Similarity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SortDescending
Coding_Helper,searching,TfIdfCalculate,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: allterms; FileWord; FilesWords; idfmap; queryTerms; queryTfIdfVector; tfidfvectorProject
