Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Coding_Helper,code_clone,CloneCheck,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: code_clone.TfIdfCalculate; code_clone.CosineSimilarity; console.Command
Coding_Helper,code_clone,CloneCheck,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: path1; path2
Coding_Helper,code_clone,CosineSimilarity,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: similarArray
Coding_Helper,code_clone,PreProcessing,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: IO.Filewriter; code_clone.Porter_stemmer
Coding_Helper,code_clone,TfIdfCalculate,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: code_clone.getTfIdf
Coding_Helper,console,Command,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: code_clone.CloneCheck; metrices.LineOfCode
Coding_Helper,console,Command,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: forwardDir; currentPath
Coding_Helper,huffman,FileWriteHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NUM_OF_BITS_TO_WRITE
Coding_Helper,huffman,Huffman,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: huffman.CompressedFileWriteHelper
Coding_Helper,huffman,mainDecode,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: huffman.Decompress; huffman.mainEncode; console.Command
Coding_Helper,huffman,mainEncode,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: IO.Filereader; console.Command; huffman.Compress
Coding_Helper,IO,ProjectReader,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: count; classCount; projectOne; projectTwo; filename
Coding_Helper,metrices,LineOfCode,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: totalLineOfProject
Coding_Helper,searching,MethodFind,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: searching.GrepContent
Coding_Helper,searching,ProcessSearchFile,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: code_clone.PreProcessing; IO.Filewriter; code_clone.Porter_stemmer
Coding_Helper,searching,Search,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: IO.Filereader; searching.ProcessSearchFile; searching.TfIdfCalculate; console.Command
Coding_Helper,searching,Search,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ProjectFileName
Coding_Helper,searching,Similarity,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: code_clone.CosineSimilarity
Coding_Helper,searching,Similarity,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SortDescending
Coding_Helper,searching,TfIdfCalculate,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: code_clone.getTfIdf
Coding_Helper,searching,TfIdfCalculate,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: queryTerms; queryTfIdfVector; tfidfvectorProject
