Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Coding_Helper,code_clone,BoxAndWhiskerChart,2,0,4,3,43,6,0,0,1.0,0,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\code_clone\BoxAndWhiskerChart.java,21
Coding_Helper,code_clone,CloneCheck,4,2,4,4,63,8,0,0,0.0,4,4,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\code_clone\CloneCheck.java,13
Coding_Helper,code_clone,CosineSimilarity,1,1,2,2,39,6,0,0,0.0,3,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\code_clone\CosineSimilarity.java,7
Coding_Helper,code_clone,getTfIdf,0,0,2,2,27,7,0,0,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\code_clone\getTfIdf.java,3
Coding_Helper,code_clone,Porter_stemmer,0,0,15,1,206,63,0,0,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\code_clone\Porter_stemmer.java,7
Coding_Helper,code_clone,PreProcessing,0,0,4,4,45,8,0,0,-1.0,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\code_clone\PreProcessing.java,10
Coding_Helper,code_clone,TfIdfCalculate,9,0,6,6,108,22,0,0,0.0,2,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\code_clone\TfIdfCalculate.java,11
Coding_Helper,console,Command,4,2,18,18,374,65,0,0,0.0,5,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\console\Command.java,24
Coding_Helper,huffman,Compress,2,0,2,2,16,2,0,0,0.0,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\Compress.java,7
Coding_Helper,huffman,CompressedFileWriteHelper,1,1,6,3,46,10,0,2,0.0,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\CompressedFileWriteHelper.java,9
Coding_Helper,huffman,Decompress,2,0,4,2,30,7,0,0,0.75,2,1,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\Decompress.java,8
Coding_Helper,huffman,DecompressedFileWriteHelper,8,0,6,3,93,15,0,2,0.0,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\DecompressedFileWriteHelper.java,9
Coding_Helper,huffman,DecompressedFileWriteHelper.State,0,0,0,0,1,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\DecompressedFileWriteHelper.java,18
Coding_Helper,huffman,FileContentReader,0,0,1,1,3,1,2,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\FileContentReader.java,5
Coding_Helper,huffman,FileWriteHelper,4,2,3,2,23,4,2,1,0.6666666666666666,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\FileWriteHelper.java,8
Coding_Helper,huffman,FrequencyMapCreate,1,0,2,2,15,3,0,1,0.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\FrequencyMapCreate.java,7
Coding_Helper,huffman,Huffman,0,0,17,7,167,40,0,0,-1.0,4,6,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\Huffman.java,7
Coding_Helper,huffman,HuffmanTuple,2,2,2,2,11,2,0,0,0.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\HuffmanTuple.java,4
Coding_Helper,huffman,mainDecode,0,0,4,4,74,10,0,0,-1.0,0,3,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\mainDecode.java,11
Coding_Helper,huffman,mainEncode,1,1,4,4,83,10,0,0,0.0,1,3,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\mainEncode.java,12
Coding_Helper,huffman,Node,5,5,5,5,31,7,0,0,0.4,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\huffman\Node.java,4
Coding_Helper,IO,Filereader,0,0,1,1,13,2,0,0,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\IO\Filereader.java,5
Coding_Helper,IO,Filewriter,0,0,1,1,11,1,0,0,-1.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\IO\Filewriter.java,10
Coding_Helper,IO,ProjectReader,5,5,3,3,46,12,0,0,0.6666666666666666,5,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\IO\ProjectReader.java,16
Coding_Helper,metrices,Average_LOC,0,0,1,1,22,2,0,0,-1.0,0,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\metrices\Average_LOC.java,8
Coding_Helper,metrices,FileCount,0,0,1,1,15,1,0,0,-1.0,0,1,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\metrices\FileCount.java,5
Coding_Helper,metrices,LineOfCode,1,1,1,1,26,5,0,0,0.0,2,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\metrices\LineOfCode.java,8
Coding_Helper,metrices,MethodCount,0,0,1,1,18,2,0,0,-1.0,0,2,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\metrices\MethodCount.java,7
Coding_Helper,searching,GrepContent,0,0,2,2,37,7,0,0,-1.0,1,0,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\searching\GrepContent.java,8
Coding_Helper,searching,MethodFind,0,0,2,2,40,7,0,0,-1.0,0,1,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\searching\MethodFind.java,9
Coding_Helper,searching,ProcessSearchFile,0,0,3,3,53,7,0,0,-1.0,1,4,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\searching\ProcessSearchFile.java,13
Coding_Helper,searching,Search,1,1,7,7,92,16,0,0,0.2857142857142857,2,5,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\searching\Search.java,17
Coding_Helper,searching,Similarity,1,1,2,2,30,7,0,0,0.0,0,3,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\searching\Similarity.java,12
Coding_Helper,searching,TfIdfCalculate,7,3,5,5,87,17,0,0,0.0,2,1,F:\exam\6th semester\LAB\Software Metrics\final check\nitu\Coding_Helper\searching\TfIdfCalculate.java,13
